treecover,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,NDVI,SAVI,EVI,Brightness,Greenness
0,0.0240975,0.044997498,0.040569998,0.258452505,0.155904993,0.071644999,0.728649199,0.409029484,0.412299812,0.273242474,0.151786447
0,0.043650001,0.070600003,0.074917503,0.275584996,0.210024998,0.118285,0.572513759,0.35390988,0.358920604,0.345859647,0.133701265
0,0.045024998,0.074835002,0.089905001,0.2438225,0.199135005,0.120925002,0.461207122,0.276920527,0.266189158,0.329464525,0.103258617
1,0.064274997,0.082287498,0.094772503,0.208237499,0.145070001,0.108852498,0.374459565,0.211949408,0.219076529,0.292555362,0.06145075
5,0.047940001,0.0741475,0.089795001,0.244399995,0.240247503,0.162202507,0.462619126,0.278001547,0.271499753,0.359527588,0.098314539
0,0.037366249,0.068991244,0.065512501,0.276052505,0.204153746,0.123977497,0.616398036,0.375265121,0.378974259,0.337911487,0.139008179
0,0.037930001,0.073707499,0.0698575,0.297529995,0.252402514,0.152384996,0.61970669,0.393721074,0.397417426,0.382623225,0.150811553
0,0.085890003,0.108027503,0.114435002,0.195889995,0.201747507,0.149442494,0.262482852,0.150782079,0.164445907,0.345437407,0.026344674
0,0.082534999,0.104782499,0.123400003,0.156729996,0.143667504,0.120485,0.118980452,0.064085461,0.065193519,0.288880557,-0.001624578
0,0.100107506,0.120911248,0.139762491,0.166987509,0.183102503,0.172212511,0.088753112,0.050619803,0.054243643,0.342095762,-0.018333277
0,0.062460002,0.079400003,0.090949997,0.210464999,0.189867496,0.129229993,0.396513134,0.223694965,0.232029229,0.317533612,0.065937556
0,0.0289375,0.049755,0.042467501,0.273192495,0.131526247,0.0631475,0.730928838,0.424303621,0.439990342,0.271703035,0.15761447
0,0.039744999,0.068097502,0.071507499,0.336167514,0.208704993,0.107780002,0.649193645,0.437370211,0.450984091,0.37348035,0.183064491
0,0.052395001,0.087072499,0.111740001,0.278802514,0.199575007,0.110832497,0.427770376,0.281394511,0.268368334,0.360889047,0.117243484
0,0.04762375,0.075398751,0.072799996,0.310702503,0.190788746,0.11383,0.62034148,0.403908044,0.427782387,0.357448906,0.155597374
0,0.098595001,0.121887498,0.143557504,0.174357504,0.192562506,0.193855003,0.096881241,0.056485087,0.059402578,0.355759323,-0.016592536
0,0.099447504,0.122932501,0.135444999,0.205982506,0.19314,0.161954999,0.206595853,0.125746146,0.138548315,0.366004825,0.013696527
0,0.110736251,0.141494989,0.161528751,0.221932501,0.245169997,0.231158748,0.15752244,0.102557555,0.110988714,0.432707608,-0.000922229
0,0.064110003,0.099749997,0.121804997,0.186430007,0.253502488,0.249377504,0.209661484,0.119937286,0.11247465,0.37466988,0.017608127
18,0.046070002,0.06543,0.071589999,0.231983751,0.205528751,0.130123749,0.528351843,0.299400806,0.304699659,0.320122182,0.100503281
0,0.073734999,0.095157497,0.129037499,0.203095004,0.243520007,0.187557504,0.222975776,0.133495882,0.129988611,0.372866064,0.033793967
0,0.083827503,0.10283,0.127195001,0.178179994,0.190445006,0.172845006,0.166958645,0.094958857,0.09710364,0.335607618,0.007108178
0,0.059544999,0.0894375,0.096422501,0.289775014,0.237662494,0.145840004,0.500657082,0.327273279,0.339996934,0.392295033,0.121988669
0,0.076705001,0.109897502,0.131044999,0.269672513,0.210905001,0.1513125,0.345948219,0.230861813,0.234064505,0.392857462,0.080025077
